Year,Film,Song,Composer,
2020,Nishabdham,Ninne Ninne,Gopi Sundar,
2020,30 Rojullo Preminchadam Ela,Neeli Neeli Aakasham,Anup Rubens,Sunitha Upadrashta
2020,Kanaledhe Nuvvani,Kanaledhe Nuvvani Title Song,Jadhav Ayaan,
2020,Most Eligible Bachelor,Manasa Manasa,Gopi Sundar,
2020,Vakeel Saab,Maguva Maguva,S. Thaman,
2020,Orey Bujjiga,Ee Maya Peremito,Anup Rubens,
2020,Orey Bujjiga,Kalalu Chusina Kannuley,Anup Rubens,
2020,Solo Brathuke So Better,Hey Idi Nenena,S. Thaman,
2020,SR Kalyana Mandapam,Choosale Kallaraa,Chaitan Bharadwaj,
2020,Nuvvante Nenani,Nammave Cheli,Varikuppala Yadagiri,
2019,Dear Comrade,Madhu Pole Peytha Mazhaye,Justin Prabhakaran,
2019,Ishq,Parayuvaan,Jakes Bejoy,
2019,Manoharam,Akale,Sanjeev T,
2020,Gauthamante Ratham,Uyire,Ankit Menon,
2020,Maniyarayile Ashokan,Olu,Sreehari K Nair,
2019,Dear Comrade,Kadalanthe Kaada Kannu,Justin Prabhakaran,
